"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/18/2011","USAA Credit Card Payment","USAA CREDIT CARD PAYMENT    ****","450.00","debit","Credit Card Payment","Checking","",""
"1/18/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","40.85","debit","Groceries","Checking","",""
"1/18/2011","Rustica Bakery","RUSTICA                    MINNE","28.50","debit","Bakery","Checking","",""
"1/18/2011","Rainbow","RAINBOW ST LO 00088039     ST LO","52.54","debit","Groceries","Checking","",""
"1/18/2011","Shady Oak Veterinary Clinic","SHADY OAK VETERINARY C     MINNE","60.49","debit","Veterinary","Checking","",""
"1/18/2011","Piola Qps Arlin","PIOLA              QPS     ARLIN","22.69","debit","Food & Dining","Checking","",""
"1/18/2011","ATM Withdrawl","5801 16TH ST  W            ST LO","200.00","debit","Cash & ATM","Checking","",""
"1/18/2011","Land's End","LANDS END          QPS     RICHF","16.49","debit","Clothing","Checking","",""
"1/18/2011","Arby's","ARBY'S #5169  00051698     RICHF","9.20","debit","Fast Food","Checking","",""
"1/18/2011","Shell","SHELL OIL 57444610406      RICHF","62.44","debit","Gas & Fuel","Checking","",""
"1/18/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","136.48","debit","Groceries","Checking","",""
"1/17/2011","United Airlines","UNITED AIRLINES      WASHINGTONTKT# 0164068660614 320110170006594007","58.00","debit","Air Travel","Traditional Green Card","",""
"1/17/2011","Home Depot","THE HOME DEPOT 2805 BLOOMINGTON001670082   800-326-7990 320110170006594006","84.76","debit","Home Improvement","Traditional Green Card","",""
"1/15/2011","Airport","SI *NATL AIRPORT SHOWASHINGTON001519835   703-417-1925 320110150489015014","80.99","debit","Air Travel","Traditional Green Card","",""
"1/14/2011","Transfer from Checking","AUTOMATIC PAYMENT - THANK YOU","450.00","credit","Credit Card Payment","WORLD MASTERCARD","",""
"1/14/2011","AT&T Wireless","AT&T MOBILITY    ONLINE PMT","138.66","debit","Mobile Phone","Checking","",""
"1/14/2011","ATM Withdrawl","1735 N LYNN STREET         ROSSL","40.00","debit","Cash & ATM","Checking","",""
"1/14/2011","Washington Metro","WASH METRORAIL00041350     ARLIN","10.00","debit","Public Transportation","Checking","",""
"1/14/2011","Centerpoint Energy Gas","CTRPT ENGY MINNE ONLINE PMT ****","152.95","debit","Bills & Utilities","Checking","",""
"1/14/2011","Egg and I","THE EGG AND I              MINNE","27.06","debit","Restaurants","Checking","",""
"1/14/2011","USAA","USAA P&C         PREMIUMPAY","71.26","debit","Financial","Checking","",""
"1/14/2011","Transfer to 5665","CITIBANK CRDT CD ONLINE PMT ****","301.00","debit","Credit Card Payment","Checking","",""
"1/14/2011","Transfer from Checking","ELECTRONIC PAYMENT-THANK YOU","301.00","credit","Credit Card Payment","5665","",""
"1/14/2011","Chipotle","CHIPOTLE 0194 542929ROSSLYN000429146   7032946669 320110140478179635","12.97","debit","Fast Food","Traditional Green Card","",""
"1/13/2011","Quick Connect Chicago","QUICK CONNECT 20251013     CHICA","10.15","debit","Food & Dining","Checking","",""
"1/13/2011","Ameriprise Financial","AMERIPRISE FINAN DIRECT DEP ****","2551.52","credit","Paycheck KK","Checking","",""
"1/13/2011","Safeway","SAFEWAY  STORE00010488     ARLIN","8.38","debit","Groceries","Checking","",""
"1/13/2011","Boingo Wireless","BWI*BOINGO WIRELESS        800-8","7.95","debit","Bills & Utilities","Checking","",""
"1/13/2011","Xcel Energy","XCEL ENERGY-NSP  ONLINE PMT ****","101.43","debit","Utilities","Checking","",""
"1/13/2011","Junonia Specialty Sale","Junonia Specialty Sale     Mendo","45.97","debit","Clothing","Checking","",""
"1/12/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","6.36","debit","Groceries","Checking","",""
"1/12/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","3.79","debit","Groceries","Checking","",""
"1/12/2011","Metro","METRO ATM - ROSSLYN 1      ARLIN","23.00","debit","Groceries","Checking","",""
"1/12/2011","Bauer","E BAUER 26494268           800-4","42.94","debit","Home Improvement","Checking","",""
"1/12/2011","Avon","AVON ONLINE STORE          800-5","11.80","debit","Clothing","Checking","",""
"1/12/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","10.68","debit","Groceries","Checking","",""
"1/12/2011","French Toast","FTC*FRENCH TOAST           800-3","15.94","debit","Clothing","Checking","",""
"1/12/2011","Starbucks","STARBUCKS USA 00002881     MINNE","26.66","debit","Coffee Shops","Checking","",""
"1/12/2011","Gardens Salonica","GARDENS OF SALONICA MINNEAPOLIS11070038    612-378-0611 320110120456441253","32.99","debit","Personal Care","Traditional Green Card","",""
"1/12/2011","BP","LYNDALE BP 9268     MINNEAPOLIS01175026    612-822-9686 320110120456441255","56.12","debit","Gas & Fuel","Traditional Green Card","",""
"1/12/2011","Mulberrys Garment Care","MULBERRYS GARMENT CAMINNEAPOLIS00680014    612-824-7787 320110120456441254","36.61","debit","Dry Cleaning","Traditional Green Card","",""
"1/11/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","7.58","debit","Groceries","Checking","",""
"1/11/2011","Lone Oak","2825 LONE OAK PARK         EAGAN","20.00","debit","Business Services","Checking","",""
"1/11/2011","Walgreen","WALGREENS #2196    QPS     MINNE","1.61","debit","Pharmacy","Checking","",""
"1/10/2011","Amazon Music","MUSIC DWNLDS        866-216-107ERS82DMOYXV DIGITAL 320110100434734820","0.99","debit","Music","Traditional Green Card","",""
"1/10/2011","Interest Charge","INTEREST CHARGE00000;","130.27","debit","Finance Charge","NWA Card","",""
"1/10/2011","Transfer to VISA","WELLS FARGO CC   ONLINE PMT ****","208.00","debit","Credit Card Payment","Checking","",""
"1/10/2011","Jimmy John's","JIMMY JOHN'S # 665         SAINT","25.12","debit","Restaurants","Checking","",""
"1/10/2011","Hennepin Cty Lib","HENNEPIN CTY LIB-PARKI     MINNE","3.00","debit","Library Fines","Checking","",""
"1/10/2011","CVS","CVS PHARMACY #5161 Q03     ST PA","15.44","debit","Pharmacy","Checking","",""
"1/10/2011","American Express","AMERICAN EXPRESS ELEC REMIT ****","500.00","debit","Credit Card Payment","Checking","",""
"1/10/2011","Tavern France Qps","TAVERN ON FRANCE   QPS     EDINA","17.16","debit","Restaurants","Checking","",""
"1/10/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","68.85","debit","Groceries","Checking","",""
"1/10/2011","Blue Cross","BLUE CROSS ANIMAL HOSP     MINNE","61.55","debit","Health Insurance","Checking","",""
"1/10/2011","Hover Domain Registration","WWW HOVER COM              41653","15.00","debit","Business Services","Checking","",""
"1/10/2011","Bloom","HP BLOOMINGTON RX          BLOOM","11.21","debit","Groceries","Checking","",""
"1/10/2011","Target","TARGET        00023002     RICHF","65.85","debit","Shopping","Checking","",""
"1/10/2011","iTunes","APL*ITUNES                 866-7","4.01","debit","Music","Checking","",""
"1/10/2011","Dan Kellys Bar & Grill","DAN KELLY'S BAR AND GR     MINNE","9.14","debit","Alcohol & Bars","Checking","",""
"1/10/2011","Transfer from Checking","PAYMENT - THANK YOU","208.00","credit","Credit Card Payment","VISA","",""
"1/07/2011","Late Payment Fee","LATE FEE 320110070848003531","25.00","debit","Late Fee","Traditional Green Card","",""
"1/07/2011","Isaca Itgi Rolling","ISACA/ITGI 0058     ROLLING MEA04050581    847-253-1545 320110070403063013","205.00","debit","Professional Dues","Traditional Green Card","",""
"1/07/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","6.41","debit","Groceries","Checking","",""
"1/07/2011","NAPA Auto","NAPA STORE 3279004         BLOOM","9.11","debit","Service & Parts","Checking","",""
"1/07/2011","Wuollet Bakery","WUOLLET BAKERY EDINA       MINNE","6.60","debit","Restaurants","Checking","",""
"1/07/2011","Staples","STAPLES       00119180     BLOOM","24.65","debit","Office Supplies","Checking","",""
"1/07/2011","Village Wok","VILLAGE WOK                MINNE","63.57","debit","Restaurants","Checking","",""
"1/07/2011","On The Go","MOVIES ON THE GO           BLOOM","4.31","debit","Groceries","Checking","",""
"1/07/2011","Bloom","HOLIDAY STNSTORE 0073      BLOOM","47.96","debit","Groceries","Checking","",""
"1/07/2011","Jimmy John's","JIMMY JOHN'S # 804 QPS     EAGAN","14.26","debit","Restaurants","Checking","",""
"1/07/2011","Schuler Shoes","SCHULER SHOES              BLOOM","68.90","debit","Clothing","Checking","",""
"1/07/2011","Hsbc Retail Online","HSBC RETAIL      ONLINE PMT ****","50.00","debit","Bills & Utilities","Checking","",""
"1/07/2011","Avenue","533 AVENUE    00005330     BLOOM","30.37","debit","Clothing","Checking","",""
"1/06/2011","Amazon","AMAZON MKTPLACE PMTSAMZN.COM/BIQCGSR14NQUA MERCHANDISE 320110060391882913","74.99","debit","Shopping","Traditional Green Card","",""
"1/06/2011","Einstein Bros","Einstein Bros #1549 RICHFIELD000022479   6128698900 320110060391882912","8.83","debit","Coffee Shops","Traditional Green Card","",""
"1/06/2011","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","100.00","credit","Paycheck Nick","USAA SAVINGS","",""
"1/06/2011","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","1638.38","credit","Paycheck Nick","Checking","",""
"1/06/2011","FreeCreditReport.com","INFO.FREECREDITREPORT.     INFOF","14.95","debit","Financial","Checking","",""
"1/06/2011","Lone Oak","2825 LONE OAK PARK         EAGAN","20.00","debit","Business Services","Checking","",""
"1/06/2011","Annunciation","CHECK # 0000002788","50.00","debit","Charity","Checking","",""
"1/05/2011","Burger Jones","BURGER JONES 0000050MINNEAPOLIS59003233    6128220016 320110050380328648","59.06","debit","Fast Food","Traditional Green Card","",""
"1/05/2011","Starbucks","STARBUCKS USA 00002881 MINNEAPOL24164071004355930132953; 05814;","25.00","debit","Coffee Shops","NWA Card","",""
"1/05/2011","Babies ""R"" Us","BABIES R US #9560  QPS     RICHF","43.63","debit","Kids","Checking","",""
"1/05/2011","Holiday Stationstore","HOLIDAY STNSTORE 0025      MINNE","57.31","debit","Gas & Fuel","Checking","",""
"1/05/2011","Old Navy","OLD NAVY #5852             EAGAN","49.45","debit","Clothing","Checking","",""
"1/05/2011","Uncle Franky's","UNCLE FRANKY`S     QPS     MINNE","15.30","debit","Restaurants","Checking","",""
"1/05/2011","Byerly's","BYERLY'S EAGAN             EAGAN","10.88","debit","Groceries","Checking","",""
"1/05/2011","Starbucks","STARBUCKS USA 00024695     EAGAN","3.37","debit","Coffee Shops","Checking","",""
"1/04/2011","Transfer to Checking","USAA FUNDS TRANSFER DB","200.00","debit","Transfer","USAA SAVINGS","",""
"1/04/2011","ATM Fee Refund","ATM SURCHARGE REBATE","11.75","credit","ATM Fee","Checking","",""
"1/04/2011","Account Maintenance Fee","ATM SERVICE FEE","2.00","debit","Bank Fee","Checking","",""
"1/04/2011","Target","TARGET        00023135     EDINA","26.81","credit","Shopping","Checking","",""
"1/04/2011","PetSmart","PETSMART INC 469   QPS     EAGAN","14.98","debit","Pet Food & Supplies","Checking","",""
"1/04/2011","Interest Paid","INTEREST PAID","0.16","credit","Interest Income","Checking","",""
"1/04/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","53.75","debit","Groceries","Checking","",""
"1/04/2011","Citibank Travel Card","CHECK # 0000002787","21.69","debit","Travel","Checking","",""
"1/04/2011","Barnes & Noble","BARNES & NOBLE #2514       E","11.08","debit","Books","Checking","",""
"1/04/2011","Rebate","DEBIT CARD REBATE","27.26","credit","Income","Checking","",""
"1/04/2011","Netflix","NFI*WWW.NETFLIX.COM/CC     NETFL","10.77","debit","Movies & DVDs","Checking","",""
"1/04/2011","Target","TARGET        00023135     EDINA","189.75","debit","Shopping","Checking","",""
"1/04/2011","Transfer from USAA SAVINGS","USAA FUNDS TRANSFER CR","200.00","credit","Transfer","Checking","",""
"1/04/2011","Barnes & Noble","BARNES & NOBLE #2514       E","8.66","debit","Books","Checking","",""
"1/04/2011","Microsoft","MICROSOFT *LIVEID BILL.MS.N24430991003400805050340; 04816;","0.50","debit","Electronics & Software","NWA Card","",""
"1/03/2011","Diamond Lake","DIAMOND LAKE HARDWARMINNEAPOLIS515844      HARDWARE STORE 320110030357417789","52.76","debit","Mortgage & Rent","Traditional Green Card","",""
"1/03/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","5.54","debit","Groceries","Checking","",""
"1/03/2011","Diamond Lake","DIAMOND LAKE HARDWARE      MINNE","1.07","debit","Mortgage & Rent","Checking","",""
"1/03/2011","Uptown Diner","NEW UPTOWN DINER           SAINT","39.52","debit","Restaurants","Checking","",""
"1/03/2011","On The Go","MOVIES ON THE GO           BLOOM","2.16","debit","Groceries","Checking","",""
"1/03/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","23.35","debit","Groceries","Checking","",""
"1/03/2011","Soccer.com","KELIIX INTRA SOCCER CL     MINNE","225.00","debit","Sporting Goods","Checking","",""
"1/03/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","35.28","debit","Groceries","Checking","",""
"1/03/2011","Walgreen","WALGREENS #5081    QPS     EAGAN","5.50","debit","Pharmacy","Checking","",""
"1/03/2011","South Lyndale Liquors","SOUTH LYNDALE LIQUORS      MINNE","46.29","debit","Alcohol & Bars","Checking","",""
"1/03/2011","ATM Withdrawl","3800 - 42ND AVE. S         MINNE","42.00","debit","Cash & ATM","Checking","",""
"1/03/2011","USAA","USAA             LOAN PMT   TO","272.66","debit","Financial","Checking","",""
"1/03/2011","Target","TARGET        00000059     BLOOM","146.49","debit","Shopping","Checking","",""
"1/03/2011","McDonald's","MCDONALDS  M5729           BLOMM","16.38","debit","Fast Food","Checking","",""
"1/03/2011","Happy Nails","HAPPY NAILS MN, INC.       ST PA","54.00","debit","Personal Care","Checking","",""
"1/03/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","12.33","debit","Groceries","Checking","",""
"1/03/2011","Walgreen","WALGREENS #2196    QPS     MINNE","5.81","debit","Pharmacy","Checking","",""
"1/02/2011","Mem Rwds Annual","MEM RWDS ANNUAL PROGRAM FEE 320110020348311436","40.00","debit","Fees & Charges","Traditional Green Card","",""
"1/01/2011","Kowalski's","KOWALSKI'S MARKET 00MINNEAPOLIS000013892   6128222935 320110010340228420","85.08","debit","Groceries","Traditional Green Card","",""
"12/31/2010","Interest Paid","INTEREST PAID","0.03","credit","Interest Income","USAA SAVINGS","",""
"12/31/2010","Starbucks","STARBUCKS USA 00002881     MINNE","10.00","debit","Coffee Shops","Checking","",""
"12/31/2010","Coastal Seafoods","COASTAL SEAFOODS           SAINT","59.47","debit","Groceries","Checking","",""
"12/31/2010","Walgreen","WALGREENS #2196            MINNE","74.39","debit","Pharmacy","Checking","",""
"12/31/2010","USAA","USAA P&C         PREMIUMPAY","71.25","debit","Financial","Checking","",""
"12/31/2010","Qwest","QWEST 8004238994 AUTO PAY   ****","96.81","debit","Home Phone","Checking","",""
"12/31/2010","UPS","THE UPS STORE #1782        ST PA","48.76","debit","Shipping","Checking","",""
"12/31/2010","La Patissarie St","LA PATISSARIE              ST PA","3.06","debit","Food & Dining","Checking","",""
"12/31/2010","Mel O Glaze","MEL O GLAZE        QPS     MINNE","17.00","debit","Food & Dining","Checking","",""
"12/30/2010","Holiday Stationstore","HOLIDAY STNSTORE 0025      MINNE","57.08","debit","Gas & Fuel","Checking","",""
"12/30/2010","AMC","AMC SOUTHDALE 06007058     Edina","14.25","debit","Movies & DVDs","Checking","",""
"12/30/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","8.69","debit","Groceries","Checking","",""
"12/30/2010","AMC","AMC SOUTHDALE 06007058     Edina","35.00","debit","Movies & DVDs","Checking","",""
"12/30/2010","Chase","CHASE MTGE       ONLINE PMT ****","1585.00","debit","Mortgage & Rent","Checking","",""
"12/30/2010","McDonald's","MCDONALDS  M5729           BLOMM","19.16","debit","Fast Food","Checking","",""
"12/30/2010","Cub Foods","CUB FOODS #3124            MINNE","93.17","debit","Groceries","Checking","",""
"12/30/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","12.70","debit","Groceries","Checking","",""
"12/30/2010","Transfer to NWA Card","CARDMEMBER SVC   ONLINE PMT ****","403.00","debit","Credit Card Payment","Checking","",""
"12/30/2010","Ameriprise Financial","AMERIPRISE FINAN DIRECT DEP ****","2509.53","credit","Paycheck KK","Checking","",""
"12/30/2010","Transfer from Checking","PAYMENT THANK YOUFG 87400000; 00000;","403.00","credit","Credit Card Payment","NWA Card","",""
"12/29/2010","Cole's Salon","COLE'S SALON - EAGAN S     EAGAN","27.00","debit","Personal Care","Checking","",""
"12/29/2010","Arby's","ARBY'S #5169  00051698     RICHF","23.45","debit","Fast Food","Checking","",""
"12/29/2010","Deposit Mobile","DEPOSIT@MOBILE","154.03","credit","Income","Checking","",""
"12/29/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","10.05","debit","Groceries","Checking","",""
"12/29/2010","Bloom","DOC POPCORN                BLOOM","4.29","debit","Groceries","Checking","",""
"12/28/2010","Old Navy","OLD NAVY #5773             BLOOM","52.15","debit","Clothing","Checking","",""
"12/28/2010","Target","TARGET        00023002     RICHF","3.75","debit","Shopping","Checking","",""
"12/28/2010","Sprint","SPRINT LD        ONLINE PMT ****","28.27","debit","Home Phone","Checking","",""
"12/28/2010","Holiday Minne","HOLIDAY STORE #25          MINNE","42.50","debit","Groceries","Checking","",""
"12/28/2010","Dairy Queen","DAIRY QUEEN #41957 QPS     RICHF","9.83","debit","Fast Food","Checking","",""
"12/28/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","103.35","debit","Groceries","Checking","",""
"12/28/2010","Mall Of America 14","MALL OF AMERICA            BLOOM","6.17","debit","Movies & DVDs","Checking","",""
"12/28/2010","Target","TARGET        00023002     RICHF","73.15","debit","Shopping","Checking","",""
"12/28/2010","H&M","H & M #84                  B","56.43","debit","Clothing","Checking","",""
"12/28/2010","Minesota Public Radio","MINESOTA PUBLIC RADIO      800-2","12.50","debit","Charity","Checking","",""
"12/28/2010","Regis Hairstylists","REGIS HAIRSTYLISTS         BLOOM","42.00","debit","Personal Care","Checking","",""
"12/28/2010","Affiliated Emergvet Ep","AFFILIATED EMERGVET-EP EDEN PRAI24323000361123383010116; 00742;","325.77","debit","Veterinary","NWA Card","",""
"12/27/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","52.04","debit","Groceries","Checking","",""
"12/27/2010","Isles Bun & Coffee","ISLES BUN & COFFEE QPS     M","12.00","debit","Coffee Shops","Checking","",""
"12/27/2010","Wine & Spirits","MGM WINE AND SPIRITS       WEST","44.90","debit","Groceries","Checking","",""
"12/27/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","11.37","debit","Groceries","Checking","",""
"12/27/2010","Walgreen","WALGREENS #2196    QPS     MINNE","24.47","debit","Pharmacy","Checking","",""
"12/27/2010","Lake Harriet Pizza","LAKE HARRIET PIZZA QPS     MINNE","22.80","debit","Fast Food","Checking","",""
"12/27/2010","Rainbow Foods","RAINBOW FOODS 00088112     W SAI","9.28","debit","Groceries","Checking","",""
"12/27/2010","Starbucks","STARBUCKS USA 00002881     MINNE","21.64","debit","Coffee Shops","Checking","",""
"12/27/2010","McDonald's","MCDONALD'S F291            ST. P","4.49","debit","Fast Food","Checking","",""
"12/27/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","107.92","debit","Groceries","Checking","",""
"12/27/2010","Urgent Care","HP ST.PAUL URGENT CARE     ST. P","35.00","debit","Doctor","Checking","",""
"12/27/2010","Hub Hobby Center","HUB HOBBY CENTER           RICHF","51.94","debit","Hobbies","Checking","",""
"12/27/2010","Walgreen","WALGREENS #2196    QPS     MINNE","23.32","debit","Pharmacy","Checking","",""
"12/24/2010","Barnes & Noble","BARNES & NOBLE #2514       E","21.50","debit","Books","Checking","",""
"12/24/2010","Homestead Pickin Parlor","HOMESTEAD PICKIN PARLO     RICHF","60.00","debit","Music","Checking","",""
"12/24/2010","Shell","SHELL OIL 574402716QPS     RICHF","75.00","debit","Gas & Fuel","Checking","",""
"12/24/2010","Leeann Chin","LEEANN CHIN #029 RICHF     RICHF","32.17","debit","Restaurants","Checking","",""
"12/24/2010","City of Minneapolis Water","CITY OF MPLS     ONLINE PMT ****","70.00","debit","Utilities","Checking","",""
"12/24/2010","Hover Domain Registration","WWW HOVER COM              41653","10.00","debit","Business Services","Checking","",""
"12/23/2010","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","100.00","credit","Paycheck Nick","USAA SAVINGS","",""
"12/23/2010","Walgreen","WALGREENS #2196    QPS     MINNE","14.69","debit","Pharmacy","Checking","",""
"12/23/2010","Target","TARGET        00023002     RICHF","69.77","debit","Shopping","Checking","",""
"12/23/2010","Tlf Inflorescence Irvin","TLF*INFLORESCENCE          IRVIN","52.48","debit","Gifts & Donations","Checking","",""
"12/23/2010","Yogen Fruz","YOGEN FRUZ - MALL OF A     MINNE","2.99","debit","Fast Food","Checking","",""
"12/23/2010","Annunciation School","CHECK # 0000002786","40.00","debit","School Fees","Checking","",""
"12/23/2010","Chipotle","CHIPOTLE 1414      QPS     RICHF","14.96","debit","Fast Food","Checking","",""
"12/23/2010","Thrivent Financial Bank","THRIVENT FIN               MINNE","40.00","debit","Cash & ATM","Checking","",""
"12/23/2010","Starbucks","STARBUCKS USA 00002881     MINNE","23.27","debit","Coffee Shops","Checking","",""
"12/23/2010","Macy's","MACY*S EAST  #239  QPS     BLOOM","9.64","debit","Clothing","Checking","",""
"12/23/2010","Walgreen","WALGREENS #2196    QPS     MINNE","7.18","debit","Pharmacy","Checking","",""
"12/23/2010","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","1712.80","credit","Paycheck Nick","Checking","",""
"12/23/2010","REI","REI #15 00015       BLOOMINGTON952-8844315 320103570240667838","51.15","debit","Sporting Goods","Traditional Green Card","",""
"12/23/2010","See's Candies","SEE'S CANDIES #618 38009517337009000041 00000000000000000055425 320103570240667839","51.81","debit","Coffee Shops","Traditional Green Card","",""
"12/23/2010","Nordstrom","NORDSTROM 233 0233  BLOOMINGTON15582127    DEPARTMENT STORE 320103570240667840","39.90","debit","Clothing","Traditional Green Card","",""
"12/23/2010","The Body Shop","THE BODY SHOP #1381 MINNEAPOLIS035735780   999-999-9999 320103570240667837","10.73","debit","Hair","Traditional Green Card","",""
"12/23/2010","Periodic Finance Charge","FINANCE CHARGE","75.71","debit","Finance Charge","VISA","",""
"12/22/2010","Swatch Mall Am","SWATCH MALL OF AM #2BLOOMINGTON37100021    201-271-4787 320103560225767424","58.66","debit","Shopping","Traditional Green Card","",""
"12/22/2010","Protector","CREDIT PROTECTOR 1-877-242-5987","64.78","debit","Bank Fee","5665","",""
"12/22/2010","Interest Charged Standard","INTEREST CHARGED TO STANDARD ADV","22.99","debit","Finance Charge","5665","",""
"12/22/2010","Interest Charged Standard","INTEREST CHARGED TO STANDARD PUR","168.37","debit","Finance Charge","5665","",""
"12/22/2010","Interest Back Earned","INTEREST BACK CREDIT EARNED","16.83","credit","Interest Income","5665","",""
"12/22/2010","Walgreen","WALGREENS #2196    QPS     MINNE","18.69","debit","Pharmacy","Checking","",""
"12/22/2010","Levenger","LEVENGER CATALOG&WEB       8","41.00","debit","Office Supplies","Checking","",""
"12/22/2010","USPS","USPS 26631104133408758     MINNE","20.20","debit","Shipping","Checking","",""
"12/22/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","50.53","debit","Groceries","Checking","",""
"12/22/2010","Happy Joes","HAPPY JOE'S PIZZA          BETTE","29.95","debit","Fast Food","Checking","",""
"12/21/2010","Kowalski's","KOWALSKI'S MARKET          MINNE","5.73","debit","Groceries","Checking","",""
